pi,prs (Pa),theta (K),qv (kg/kg),u (m/s),v (m/s),z (m)
0.5227362,10302.644,396.94,2.49e-06,28.0,7.0,15950.001
0.5202846,10134.341,398.82,2.5299998e-06,28.0,7.0,16050.001000000002
0.5178446,9968.796,400.72,2.57e-06,28.0,7.0,16150.002
0.51541615,9805.959,402.62,2.6100001000000004e-06,28.0,7.0,16250.0
0.5129992,9645.791,404.53,2.66e-06,28.0,7.0,16350.000000000002
0.51059365,9488.246,406.46,2.7000000000000004e-06,28.0,7.0,16450.0
0.5081995,9333.279,408.39,2.75e-06,28.0,7.0,16550.001
0.5058167,9180.851999999999,410.33,2.79e-06,28.0,7.0,16650.002
0.50344515,9030.919,412.28,2.84e-06,28.0,7.0,16750.0
0.5010848,8883.439,414.24,2.89e-06,28.0,7.0,16850.0
0.49873564,8738.375,416.21,2.94e-06,28.0,7.0,16950.0
0.49639755,8595.685,418.18,2.98e-06,28.0,7.0,17050.001
0.49407049999999997,8455.327,420.17,3.03e-06,28.0,7.0,17150.002
0.49175447,8317.27,422.17,3.08e-06,28.0,7.0,17250.0
0.48944940000000003,8181.472,424.17,3.14e-06,28.0,7.0,17350.0
0.48715523,8047.8965,426.19,3.1900001000000003e-06,28.0,7.0,17450.0
0.4848719,7916.5073,428.21,3.24e-06,28.0,7.0,17550.001
0.48259938,7787.2695,430.25,3.3000001e-06,28.0,7.0,17650.002
0.48033760000000003,7660.1455,432.29,3.3499998e-06,28.0,7.0,17750.0
0.47808649999999997,7535.102,434.35,3.4099998999999996e-06,28.0,7.0,17850.0
0.47584608,7412.1064,436.41,3.4600002e-06,28.0,7.0,17950.0
